komentar,tokens,cleaned
"alhamdulillah paket dah nyampe,tpi kenapa sepatunya tali nya g ada🥹🥹🙏🙏🙏","['alhamdulillah', 'paket', 'dah', 'nyampe tpi', 'sepatu', 'tali', 'ada']",alhamdulillah paket dah nyampe tpi sepatu tali ada
sesuai pas dan nyaman di kaki,"['sesuai', 'pas', 'nyaman', 'kaki']",sesuai pas nyaman kaki
"barangnya bagus cuma sangka saya sampingnya itu lembut ternyata keras, tpi bgus juga, syukron barangnya nyampai dgn selamat dan aman","['barang', 'bagus', 'sangka', 'samping', 'lembut', 'keras', 'tpi', 'bgus', 'juga', 'syukron', 'barang', 'nyampai', 'dgn', 'selamat', 'aman']",barang bagus sangka samping lembut keras tpi bgus juga syukron barang nyampai dgn selamat aman
sepatunya bagus tidak ada cacatnya,"['sepatu', 'bagus', 'cacat']",sepatu bagus cacat
allham ndulillah barang datang tepat waktu n juga barang bagus sudah 2× ini saya pasan masih nunggu paket datang lagi besok yng ke 3-4 trimakasih tiktok tdk mengecewakan pokoknya jooooos mantep,"['allham', 'ndulillah', 'barang', 'waktu', 'barang', 'bagus', '2', 'pas', 'nunggu', 'paket', 'besok', 'yng', '3-4', 'trimakasih', 'tiktok', 'tdk', 'kecewa', 'pokok', 'jooooos', 'mantep']",allham ndulillah barang waktu barang bagus 2 pas nunggu paket besok yng 3-4 trimakasih tiktok tdk kecewa pokok jooooos mantep
"sepatunya kayak batu, catnya kayak cat tembok🤣","['sepatu', 'kayak', 'batu', 'cat', 'kayak', 'cat', 'tembok']",sepatu kayak batu cat kayak cat tembok
saya pesan ukuran 40 yang dtg ukuran 43,"['pesan', 'ukur', '40', 'dtg', 'ukur', '43']",pesan ukur 40 dtg ukur 43
ok pesanan sesuai mantap no tipu-tipu 👍👍👍👍👍,"['ok', 'pesan', 'sesuai', 'mantap', 'no', 'tipu', '']",ok pesan sesuai mantap no tipu 
barang dah sampai keadaan bungkus dah robek daya tahan pakai: baru keadaan lem dah ngelupas produk jelek.,"['barang', 'dah', 'bungkus', 'dah', 'robek', 'daya', 'tahan', 'pakai', 'lem', 'dah', 'ngelupas', 'produk', 'jelek']",barang dah bungkus dah robek daya tahan pakai lem dah ngelupas produk jelek
tapaknya keras bukan karet kurang lentur,"['tapak', 'keras', 'karet', 'lentur']",tapak keras karet lentur
barang ny sesuai gambar tapi bahan ny agak keras gitu sesuai lah dengan harga segitu,"['barang', 'ny', 'sesuai', 'gambar', 'bahan', 'ny', 'keras', 'gitu', 'sesuai', 'harga', 'segitu']",barang ny sesuai gambar bahan ny keras gitu sesuai harga segitu
"bahan tidak bagus sangat kecewa,tidak sesuai dengan yang di pajang","['bahan', 'bagus', 'kecewa tidak', 'sesuai', 'pajang']",bahan bagus kecewa tidak sesuai pajang
"paket sudah tiba dengan aman, sesuai dengan pesanan","['paket', 'aman', 'sesuai', 'pesan']",paket aman sesuai pesan
ini bukan cuci gudang ini penipuan barang enggak sama dengan di fhoto dan iklan sepatunya kerak sekai pakai pasti jebol mana tapak keras,"['cuci', 'gudang', 'tipu', 'barang', 'fhoto', 'iklan', 'sepatu', 'kerak', 'seka', 'pakai', 'jebol', 'tapak', 'keras']",cuci gudang tipu barang fhoto iklan sepatu kerak seka pakai jebol tapak keras
"bagian depan kekecilan, kaki terasa di himpit 😵‍💫 yang lainnya sesuai harga","['kecil', 'kaki', 'himpit', '', 'sesuai', 'harga']",kecil kaki himpit  sesuai harga
"barang lmayan sesuai harga cuma agak keras d injaknya, kurir ok","['barang', 'lmayan', 'sesuai', 'harga', 'keras', 'injak', 'kurir', 'ok']",barang lmayan sesuai harga keras injak kurir ok
ukuran 39 kebesaran lemnya sudah nglokor bahan nya sudah ada yang sobek,"['ukur', '39', 'besar', 'lem', 'nglokor', 'bahan', 'sobek']",ukur 39 besar lem nglokor bahan sobek
no ukurannya bukan asli cuma tempelan akhirnya kekecilan kagak muat... biasanya/ lazimnya klw ukuran yang asli ada di telapak ( bagian bawah nya )🙏 biasany sepatu sy no 40 pas banget,"['no', 'ukur', 'asli', 'tempel', 'kecil', 'kagak', 'muat', 'biasa', 'lazim', 'klw', 'ukur', 'asli', 'telapak', '', '', 'biasany', 'sepatu', 'sy', 'no', '40', 'pas', 'banget']",no ukur asli tempel kecil kagak muat biasa lazim klw ukur asli telapak   biasany sepatu sy no 40 pas banget
mantap barang sesui pengiriman cpt puas pokoknya,"['mantap', 'barang', 'sesui', 'kirim', 'cpt', 'puas', 'pokok']",mantap barang sesui kirim cpt puas pokok
barang bagus sesuai ekpetasi..saya puas. cuma ini no 42 kecil.,"['barang', 'bagus', 'sesuai', 'ekpetasi saya', 'puas', 'no', '42', 'kecil']",barang bagus sesuai ekpetasi saya puas no 42 kecil
barang ny sama sperti yang di pesan. allhamdulilah. tidak mngecewa kn barang ny,"['barang', 'ny', 'sperti', 'pesan', 'allhamdulilah', 'mngecewa', 'kn', 'barang', 'ny']",barang ny sperti pesan allhamdulilah mngecewa kn barang ny
"cuman sekali pake aja sudah jebol.. gmn mau awet, dg harha segitu mh lumayan dahh","['cuman', 'pake', 'aja', 'jebol', 'gmn', 'awet', 'dg', 'harha', 'segitu', 'mh', 'lumayan', 'dahh']",cuman pake aja jebol gmn awet dg harha segitu mh lumayan dahh
"alhamdulillah barang sudah sampai dengan aman dan cepat sesuai deskripsi... bagus, mantap 👍👍 terimakasih 🙏","['alhamdulillah', 'barang', 'aman', 'cepat', 'sesuai', 'deskripsi', 'bagus', 'mantap', '', 'terimakasih', '']",alhamdulillah barang aman cepat sesuai deskripsi bagus mantap  terimakasih 
"beli sepatu tidak ada tali sepatunya,lain kali lebih teliti dan hati hati ,mengecewakan, baru kali ini beli sepatu tidak ada tali sepatunya , terus pakainya gimana?????????","['beli', 'sepatu', 'tali', 'sepatu lain', 'teliti', 'hati', 'hati', 'kecewa', 'beli', 'sepatu', 'tali', 'sepatu', '', 'pakai', 'gimana']",beli sepatu tali sepatu lain teliti hati hati kecewa beli sepatu tali sepatu  pakai gimana
"tdk sesuai harapan, merek berbeda dgn yang di pesan","['tdk', 'sesuai', 'harap', 'merek', 'beda', 'dgn', 'pesan']",tdk sesuai harap merek beda dgn pesan
spatu nya keren.cuman no 42 pas banget.sipp pokoe.blanja d shope👍👍👍,"['spatu', 'keren cuman', 'no', '42', 'pas', 'banget sipp', 'pokoe blanja', 'shope']",spatu keren cuman no 42 pas banget sipp pokoe blanja shope
