komentar,tokens,cleaned
"alhmdulilah paket sudah sampai dengan baik barang oke dan bagus, trimkasih seller dan pak kurir","['alhmdulilah', 'paket', 'barang', 'oke', 'bagus', 'trimkasih', 'seller', 'kurir']",alhmdulilah paket barang oke bagus trimkasih seller kurir
"ini mah udah kaya sepatu mahal aja, pas ukurannya dan pik kaya di photo, untuk kurirnya trima kasih","['mah', 'udah', 'kaya', 'sepatu', 'mahal', 'aja', 'pas', 'ukur', 'pik', 'kaya', 'photo', 'kurir', 'trima', 'kasih']",mah udah kaya sepatu mahal aja pas ukur pik kaya photo kurir trima kasih
bagus barang sesuai harga sayng tidak ada tali sepatunya aja,"['bagus', 'barang', 'sesuai', 'harga', 'sayng', 'tali', 'sepatu', 'aja']",bagus barang sesuai harga sayng tali sepatu aja
"daya tahan pakai: tidak tahan lama,lem tidak nempel sempurna,bahan alas licin","['daya', 'tahan', 'pakai', 'tahan', 'lama lem', 'nempel', 'sempurna bahan', 'alas', 'licin']",daya tahan pakai tahan lama lem nempel sempurna bahan alas licin
barang sesuai yang di iklan harga nya ekonomis,"['barang', 'sesuai', 'iklan', 'harga', 'ekonomis']",barang sesuai iklan harga ekonomis
ok bagus banget sesuai pesanan pokoknya ok semua,"['ok', 'bagus', 'banget', 'sesuai', 'pesan', 'pokok', 'ok']",ok bagus banget sesuai pesan pokok ok
bentuk dan ukuran: barang tidak sesuai dengan di live nya barang seperti barang murah kwalitas tak layak pakai kecewa dan talinya pun tidak sesuai apa yang di katakan tali bisa,"['bentuk', 'ukur', 'barang', 'sesuai', 'live', 'barang', 'barang', 'murah', 'kwalitas', 'layak', 'pakai', 'kecewa', 'tali', 'sesuai', 'tali']",bentuk ukur barang sesuai live barang barang murah kwalitas layak pakai kecewa tali sesuai tali
mantap pesanan sda sampai barang sesuai harga 👍,"['mantap', 'pesan', 'sda', 'barang', 'sesuai', 'harga', '']",mantap pesan sda barang sesuai harga 
kalo dilihat elegan tapi lom di coba kekuatanya 👍,"['kalo', 'elegan', 'lom', 'coba', 'kekuatanya', '']",kalo elegan lom coba kekuatanya 
sepatu keren banget tidak kaleng² benar bagus banget jadi puas beli barang nya terimakasih tiktok,"['sepatu', 'keren', 'banget', 'kaleng', 'bagus', 'banget', 'puas', 'beli', 'barang', 'terimakasih', 'tiktok']",sepatu keren banget kaleng bagus banget puas beli barang terimakasih tiktok
"barang sampai dengan selamat tidak ada hancur,, cuman sedikit kecewa dengan sepatu nya, tidak sesuwai dengan gambar tali d gambar putih d kirim itam, trus gambar contreng nyo hijap yang d kirim itam yang ijam d bawak, hadee nyesal pokok nya beli d toko ini ku kira sesuwai dengan pesanan.","['barang', 'selamat', 'hancur', 'cuman', 'kecewa', 'sepatu', 'nya', 'sesuwai', 'gambar', 'tali', 'gambar', 'putih', 'kirim', 'itam', 'trus', 'gambar', 'contreng', 'nyo', 'hijap', 'kirim', 'itam', 'ijam', 'bawak', 'hadee', 'nyesal', 'pokok', 'beli', 'toko', 'ku', 'sesuwai', 'pesan']",barang selamat hancur cuman kecewa sepatu nya sesuwai gambar tali gambar putih kirim itam trus gambar contreng nyo hijap kirim itam ijam bawak hadee nyesal pokok beli toko ku sesuwai pesan
ok trimakasih barang da sampai cepat lo cucok tuk ganti2 beraktivitas keren🫰,"['ok', 'trimakasih', 'barang', 'da', 'cepat', 'lo', 'cucok', 'tuk', 'ganti2', 'aktivitas', 'keren']",ok trimakasih barang da cepat lo cucok tuk ganti2 aktivitas keren
"sesuai harga, cat nya tidak rapih","['sesuai', 'harga', 'cat', 'rapih']",sesuai harga cat rapih
bahan nya jelek parah daya tahan pakai: tdk sesuai dgn iklan yang di tampilkan,"['bahan', 'jelek', 'parah', 'daya', 'tahan', 'pakai', 'tdk', 'sesuai', 'dgn', 'iklan', 'tampil']",bahan jelek parah daya tahan pakai tdk sesuai dgn iklan tampil
kalau tidak niat jualan hfn jualan apa mau nipu orang masks beli sepatu gaj ada talinya maksudnya gmn,"['niat', 'jual', 'hfn', 'jual', 'nipu', 'masks', 'beli', 'sepatu', 'gaj', 'tali', 'maksud', 'gmn']",niat jual hfn jual nipu masks beli sepatu gaj tali maksud gmn
kurir sopan ramah.sepatu di cek ternyata cacat. gimana ini tdk puas dng barang paketannya,"['kurir', 'sopan', 'ramah sepatu', 'cek', 'cacat', 'gimana', 'tdk', 'puas', 'dng', 'barang', 'paket']",kurir sopan ramah sepatu cek cacat gimana tdk puas dng barang paket
bagus sesuai gambar makasihh 👍🏻 amanah,"['bagus', 'sesuai', 'gambar', 'makasihh', '', 'amanah']",bagus sesuai gambar makasihh  amanah
"sepatu nya sudah sampai tapi tidak sama dengan yang di gambar nya, tali nya aturan warna putih, yang dateng warna abu""","['sepatu', 'gambar', 'nya', 'tali', 'atur', 'warna', 'putih', 'dateng', 'warna', 'abu']",sepatu gambar nya tali atur warna putih dateng warna abu
"barang bagus, penjual fast respon","['barang', 'bagus', 'jual', 'fast', 'respon']",barang bagus jual fast respon
barang tidak sesuai dg yang di iklankan bawahnya keras sy kecewa,"['barang', 'sesuai', 'dg', 'iklan', 'bawah', 'keras', 'sy', 'kecewa']",barang sesuai dg iklan bawah keras sy kecewa
pengiriman cepet tapi lok ada yang ngirut di sisidepan nih min,"['kirim', 'cepet', 'lok', 'ngirut', 'sisidepan', 'nih', 'min']",kirim cepet lok ngirut sisidepan nih min
barang dah nyampe kemaren cuma baru saya buka tpy kurang puas kirain bawah nya seket ternyata ya lumayan lah dari pada lumanyun,"['barang', 'dah', 'nyampe', 'kemaren', 'buka', 'tpy', 'puas', 'kirain', 'seket', 'lumayan', 'lumanyun']",barang dah nyampe kemaren buka tpy puas kirain seket lumayan lumanyun
gag sesuai di gambar masa pinggir ya pake cet belepotan lgh,"['gag', 'sesuai', 'gambar', 'pinggir', 'pake', 'cet', 'belepotan', 'lgh']",gag sesuai gambar pinggir pake cet belepotan lgh
"alhamdulillah... sepatunya sudah datang sangat sesuai dengan pesanan, terima kasih reseller semuga selalu amanah... aamiin kurirnya juga sangat ramah","['alhamdulillah', 'sepatu', 'sesuai', 'pesan', 'terima', 'kasih', 'reseller', 'semuga', 'amanah', 'aamiin', 'kurir', 'ramah']",alhamdulillah sepatu sesuai pesan terima kasih reseller semuga amanah aamiin kurir ramah
bentuk dan ukuran: pas di kaki,"['bentuk', 'ukur', 'pas', 'kaki']",bentuk ukur pas kaki
tdk memuaskan sepatu baru kok sudah terbuka lemx sudah robek lagi bagian belakang,"['tdk', 'muas', 'sepatu', 'buka', 'lemx', 'robek']",tdk muas sepatu buka lemx robek
"barang kalau jelek jgn di jual,,bikin kecewa pembeli","['barang', 'jelek', 'jgn', 'jual bikin', 'kecewa', 'beli']",barang jelek jgn jual bikin kecewa beli
terimakasih paket sudah dterima.. model bagus.kuwalitas sesuwai harga..,"['terimakasih', 'paket', 'dterima', 'model', 'bagus kuwalitas', 'sesuwai', 'harga']",terimakasih paket dterima model bagus kuwalitas sesuwai harga
bentuk dan ukuran: kecewa tidak sesuai saya pesan no 39 datang no 42 gimana ini!!!,"['bentuk', 'ukur', 'kecewa', 'sesuai', 'pesan', 'no', '39', 'no', '42', 'gimana', 'ini']",bentuk ukur kecewa sesuai pesan no 39 no 42 gimana ini
"parah, masa yang dateng paket sebatunye bahan ame yang di iklannye beda????? sungguh mengecewakan 😠😠😠😠😠","['parah', 'dateng', 'paket', 'sebatunye', 'bahan', 'ame', 'iklannye', 'beda', 'sungguh', 'kecewa', '']",parah dateng paket sebatunye bahan ame iklannye beda sungguh kecewa 
ngak sesuai pesanan trus gimana ini jelek kali bro👎👎👎,"['ngak', 'sesuai', 'pesan', 'trus', 'gimana', 'jelek', 'bro']",ngak sesuai pesan trus gimana jelek bro
"tidak sesuai gambar , tidak amanah ,, sangat mengecewakan","['sesuai', 'gambar', '', 'amanah', '', 'kecewa']",sesuai gambar  amanah  kecewa
bentuk dan ukuran: pas sesuai pesanan,"['bentuk', 'ukur', 'pas', 'sesuai', 'pesan']",bentuk ukur pas sesuai pesan
"kirain merk sneker yang dateng,ngga taunya merk afshifa gimana kak,,katanya real pic","['kirain', 'merk', 'sneker', 'dateng ngga', 'tau', 'merk', 'afshifa', 'gimana', 'kak kata', 'real', 'pic']",kirain merk sneker dateng ngga tau merk afshifa gimana kak kata real pic
depan nya tidak bagus dan sangat mengecewakan tolong bagaiman ini,"['bagus', 'kecewa', 'tolong', 'bagaiman']",bagus kecewa tolong bagaiman
"ok paket sudah sampah dan sesuai dengan apa yang di ingin kan,tapi lem nya tidak kuat","['ok', 'paket', 'sampah', 'sesuai', 'kan tapi', 'lem', 'kuat']",ok paket sampah sesuai kan tapi lem kuat
lumayan cmn tpaknya agak keras..,"['lumayan', 'cmn', 'tpaknya', 'keras']",lumayan cmn tpaknya keras
bentuk dan ukuran: estetik ukuran pas,"['bentuk', 'ukur', 'estetik', 'ukur', 'pas']",bentuk ukur estetik ukur pas
"alhamdulillah paketnya sudah sampe, pesanan sesuai digambar, makasih bwt tokonya jg abang kurirnya yang baik👍👍🙏","['alhamdulillah', 'paket', 'sampe', 'pesan', 'sesuai', 'gambar', 'makasih', 'bwt', 'toko', 'jg', 'abang', 'kurir', 'baik']",alhamdulillah paket sampe pesan sesuai gambar makasih bwt toko jg abang kurir baik
sungguh kecewa warna kenapa tak sesuai biarpun harga murah,"['sungguh', 'kecewa', 'warna', 'sesuai', 'biarpun', 'harga', 'murah']",sungguh kecewa warna sesuai biarpun harga murah
barang udah sampai lumayan bagus sagitu ukuran pas,"['barang', 'udah', 'lumayan', 'bagus', 'sagitu', 'ukur', 'pas']",barang udah lumayan bagus sagitu ukur pas
sepatu nya tidak sesuai yang ku inginkan minta nomor 40 malah d kasih nmr 43 jadi ke gegedean,"['sepatu', 'sesuai', 'ku', 'nomor', '40', 'kasih', 'nmr', '43', 'gegedean']",sepatu sesuai ku nomor 40 kasih nmr 43 gegedean
barang tidak sesuai di iklankan...toko ini tidak amanah...parah barang yang saya terima,"['barang', 'sesuai', 'iklan toko', 'amanah parah', 'barang', 'terima']",barang sesuai iklan toko amanah parah barang terima
"alhamdulillah paket udah datang sesuai pesanan,,iya lumayan lah harga segitu mah,,","['alhamdulillah', 'paket', 'udah', 'sesuai', 'pesan iya', 'lumayan', 'harga', 'segitu', 'mah']",alhamdulillah paket udah sesuai pesan iya lumayan harga segitu mah
barang sesuai pesanan...sukses selalu👍👍,"['barang', 'sesuai', 'pesan sukses', 'selalu']",barang sesuai pesan sukses selalu
tidak sesuai harapan bahan keras,"['sesuai', 'harap', 'bahan', 'keras']",sesuai harap bahan keras
untuk harga semurah ini barang nya bagus,"['harga', 'murah', 'barang', 'bagus']",harga murah barang bagus
boss sepatunya dtg tdk ada tali. sangat tdk memuaskan..!!,"['boss', 'sepatu', 'dtg', 'tdk', 'tali', 'tdk', 'muas']",boss sepatu dtg tdk tali tdk muas
alas licin tidak sesuai dengan promosi,"['alas', 'licin', 'sesuai', 'promosi']",alas licin sesuai promosi
lumayan bagus untuk harga segitu.. awet brngnya ketimbang uangnya 😁😁😁,"['lumayan', 'bagus', 'harga', 'segitu', 'awet', 'brngnya', 'ketimbang', 'uang', '']",lumayan bagus harga segitu awet brngnya ketimbang uang 
"barang bagus, sesuai harga👍","['barang', 'bagus', 'sesuai', 'harga']",barang bagus sesuai harga
maf ka nomer y sepatu y kegedaan.saya pesan nomer 41 ko dateng y 43,"['maf', 'ka', 'nomer', 'sepatu', 'kegedaan saya', 'pesan', 'nomer', '41', 'ko', 'dateng', '43']",maf ka nomer sepatu kegedaan saya pesan nomer 41 ko dateng 43
keren barangnya sudah sampai semoga awet untuk di pakai sehari-hari,"['keren', 'barang', 'moga', 'awet', 'pakai', 'hari']",keren barang moga awet pakai hari
"bentuk dan ukuran: harga merayakyat . ukuran pas . desain sesuai, saran untuk perwarna ya jangan sampai kelewat. biar keliatan profesional. untuk harga emang gila terbaik anjir . bahan juga standar dengan harga , terbaik . saran untuk daya tahan pakai. saya harap kuat aja lemnya . soalnya belum ketauan.","['bentuk', 'ukur', 'harga', 'merayakyat', '', 'ukur', 'pas', '', 'desain', 'sesuai', 'saran', 'warna', 'lewat', 'biar', 'liat', 'profesional', 'harga', 'emang', 'gila', 'baik', 'anjir', '', 'bahan', 'standar', 'harga', '', 'baik', '', 'saran', 'daya', 'tahan', 'pakai', 'harap', 'kuat', 'aja', 'lem', '', 'tau']",bentuk ukur harga merayakyat  ukur pas  desain sesuai saran warna lewat biar liat profesional harga emang gila baik anjir  bahan standar harga  baik  saran daya tahan pakai harap kuat aja lem  tau
sangat buruk di bagian cat nya,"['buruk', 'cat']",buruk cat
"barang.a sesuai foto terima kasih,","['barang a', 'sesuai', 'foto', 'terima', 'kasih']",barang a sesuai foto terima kasih
kualitas sesuai harga aroma: barang baru daya tahan pakai: kayanya awera kalau tidak di pakai bentuk dan ukuran: uk pas sesuai pesanan,"['kualitas', 'sesuai', 'harga', 'aroma', 'barang', 'daya', 'tahan', 'pakai', 'kaya', 'awera', 'pakai', 'bentuk', 'ukur', 'uk', 'pas', 'sesuai', 'pesan']",kualitas sesuai harga aroma barang daya tahan pakai kaya awera pakai bentuk ukur uk pas sesuai pesan
intinya sesuai pesanan ukuran pas di 42 tidak kecil tidak besar bahan lemes tidak sakit di pake rasa nyaman oke dah pokonya,"['inti', 'sesuai', 'pesan', 'ukur', 'pas', '42', 'bahan', 'lemes', 'sakit', 'pake', 'nyaman', 'oke', 'dah', 'poko']",inti sesuai pesan ukur pas 42 bahan lemes sakit pake nyaman oke dah poko
pesanan sudah kami terima tapi tidak sesuai pilihan pesan orenn di kirim hijau tidak memuaskan pelanggan,"['pesan', 'terima', 'sesuai', 'pilih', 'pesan', 'orenn', 'kirim', 'hijau', 'muas', 'langgan']",pesan terima sesuai pilih pesan orenn kirim hijau muas langgan
kecewa dikira bawah nya karet ternyata😌 pengiriman emang cepet sih,"['kecewa', 'karet', 'nyata', 'kirim', 'emang', 'cepet', 'sih']",kecewa karet nyata kirim emang cepet sih
"bentuk dan ukuran: agak sobek dikit ,mohon di cek kembali sebelum pengemasan","['bentuk', 'ukur', 'sobek', 'dikit', 'mohon', 'cek', 'emas']",bentuk ukur sobek dikit mohon cek emas
bentuk dan ukuran: pas daya tahan pakai: tidak dianjurkan dipakai setiap hari,"['bentuk', 'ukur', 'pas', 'daya', 'tahan', 'pakai', 'anjur', 'pakai']",bentuk ukur pas daya tahan pakai anjur pakai
"barang di terima dengan baik dan sesuai permintaan, terimakasih","['barang', 'terima', 'sesuai', 'minta', 'terimakasih']",barang terima sesuai minta terimakasih
2 hari pakai.sudah sobek pinggir,"['2', 'pakai sudah', 'sobek', 'pinggir']",2 pakai sudah sobek pinggir
bentuk dan ukuran: pas daya tahan pakai: semoga kuat,"['bentuk', 'ukur', 'pas', 'daya', 'tahan', 'pakai', 'moga', 'kuat']",bentuk ukur pas daya tahan pakai moga kuat
bentuk dan ukuran: pas daya tahan pakai: sesuai harga aroma: bunga melati,"['bentuk', 'ukur', 'pas', 'daya', 'tahan', 'pakai', 'sesuai', 'harga', 'aroma', 'bunga', 'melati']",bentuk ukur pas daya tahan pakai sesuai harga aroma bunga melati
bentuk dan ukuran: pas daya tahan pakai: tidak bkln kuat lama.. sesuai ama harga,"['bentuk', 'ukur', 'pas', 'daya', 'tahan', 'pakai', 'bkln', 'kuat', 'lama', 'sesuai', 'ama', 'harga']",bentuk ukur pas daya tahan pakai bkln kuat lama sesuai ama harga
bentuk dan ukuran: bagus aroma: bagus daya tahan pakai: bagus,"['bentuk', 'ukur', 'bagus', 'aroma', 'bagus', 'daya', 'tahan', 'pakai', 'bagus']",bentuk ukur bagus aroma bagus daya tahan pakai bagus
barang sudah sampai kondisi baik,"['barang', 'kondisi']",barang kondisi
bentuk dan ukuran: 40 aroma: oreng putih dan abu abu daya tahan pakai: mudah mudahan nyaman di pakai,"['bentuk', 'ukur', '40', 'aroma', 'oreng', 'putih', 'abu', 'abu', 'daya', 'tahan', 'pakai', 'mudah', 'mudah', 'nyaman', 'pakai']",bentuk ukur 40 aroma oreng putih abu abu daya tahan pakai mudah mudah nyaman pakai
paket datang alhmdulilah tapi sayang no 42 ko kecil biasa nya sya no 42 itu pas ini ko kelil sayang bangt tidak ke pake,"['paket', 'alhmdulilah', 'sayang', 'no', '42', 'ko', 'sya', 'no', '42', 'pas', 'ko', 'lil', 'sayang', 'bangt', 'pake']",paket alhmdulilah sayang no 42 ko sya no 42 pas ko lil sayang bangt pake
terimakasih barang sesuai tapi sayang bawah nya keras,"['terimakasih', 'barang', 'sesuai', 'sayang', 'keras']",terimakasih barang sesuai sayang keras
"desain bagus , bentuk dan ukuran: pas ,mesti up 1 size","['desain', 'bagus', '', 'bentuk', 'ukur', 'pas', 'mesti', 'up', '1', 'size']",desain bagus  bentuk ukur pas mesti up 1 size
bahan bagus sama kayak yang di posting puas x rasanya🙏,"['bahan', 'bagus', 'kayak', 'posting', 'puas', 'rasa']",bahan bagus kayak posting puas rasa
sepatunya sudah dtg ya gitu deh sesuai harga. ukuran 40 kecil nga cukup pdhl biasanya aku pakein no 39. dipakainya jg kurang nyaman bunyi,"['sepatu', 'dtg', 'gitu', 'deh', 'sesuai', 'harga', 'ukur', '40', 'nga', 'pdhl', 'pakein', 'no', '39', 'pakai', 'jg', 'nyaman', 'bunyi']",sepatu dtg gitu deh sesuai harga ukur 40 nga pdhl pakein no 39 pakai jg nyaman bunyi
bagus sesuai pesanan amanah dan kwalitas produk sangat memuaskan,"['bagus', 'sesuai', 'pesan', 'amanah', 'kwalitas', 'produk', 'muas']",bagus sesuai pesan amanah kwalitas produk muas
sepatunya bagus cumn tidak sesuai ukurang pesen uk brapa dateng nya brapa,"['sepatu', 'bagus', 'cumn', 'sesuai', 'ukurang', 'sen', 'uk', 'brapa', 'dateng', 'brapa']",sepatu bagus cumn sesuai ukurang sen uk brapa dateng brapa
lem belepotan kayak barang rijek,"['lem', 'belepotan', 'kayak', 'barang', 'rijek']",lem belepotan kayak barang rijek
tidak sesuai sama postingannya lain yang di pesan lain yang di antarkan mereknya,"['sesuai', 'postingannya', 'pesan', 'antar', 'merek']",sesuai postingannya pesan antar merek
bentuk dan ukuran: pas dan sesuai pesanan aroma: biasa daya tahan pakai: biasa,"['bentuk', 'ukur', 'pas', 'sesuai', 'pesan', 'aroma', 'daya', 'tahan', 'pakai']",bentuk ukur pas sesuai pesan aroma daya tahan pakai
sesuai bagus tidak kecewa aq beli,"['sesuai', 'bagus', 'kecewa', 'aq', 'beli']",sesuai bagus kecewa aq beli
sepatu nya oke deh tapi lepas leman nya yang di belang dekat tumit tapi dak apa lah,"['sepatu', 'oke', 'deh', 'lepas', 'lem', 'belang', 'tumit', 'dak']",sepatu oke deh lepas lem belang tumit dak
"paket sudah diterima dgn baik, sepatunya bagus tapi belum tau lem nya kuat apa gk, mudah""an tahan dipakai tidak cpt lekang. kurir baik dan ramah","['paket', 'terima', 'dgn', 'baik', 'sepatu', 'bagus', 'tau', 'lem', 'kuat', 'gk', 'mudah an', 'tahan', 'pakai', 'cpt', 'lekang', 'kurir', 'ramah']",paket terima dgn baik sepatu bagus tau lem kuat gk mudah an tahan pakai cpt lekang kurir ramah
bentuk dan ukuran: ukuran nya 40 terlalu kecil di kaki ayah saya 🤣 tpi tidak pp bhan ny sesuai harga lumayan bgus sih,"['bentuk', 'ukur', 'ukur', '40', 'kaki', 'ayah', '', 'tpi', 'pp', 'bhan', 'ny', 'sesuai', 'harga', 'lumayan', 'bgus', 'sih']",bentuk ukur ukur 40 kaki ayah  tpi pp bhan ny sesuai harga lumayan bgus sih
"barangnya bagus,ukuran sesuai harga terjangkau,rapi,cepat sampai.","['barang', 'bagus ukur', 'sesuai', 'harga', 'jangkau rapi cepat', 'sampai']",barang bagus ukur sesuai harga jangkau rapi cepat sampai
bagus banget untuk harga segitu,"['bagus', 'banget', 'harga', 'segitu']",bagus banget harga segitu
sepatu nya ada yang terbuka (rusak),"['sepatu', 'buka', 'rusak']",sepatu buka rusak
bentuk dan ukuran: sesuai pesan daya tahan pakai: semoga awet,"['bentuk', 'ukur', 'sesuai', 'pesan', 'daya', 'tahan', 'pakai', 'moga', 'awet']",bentuk ukur sesuai pesan daya tahan pakai moga awet
lumayan bagus cuman kekecilan karena tidak ada nmr 44,"['lumayan', 'bagus', 'cuman', 'kecil', 'nmr', '44']",lumayan bagus cuman kecil nmr 44
"bagus, cuma ukuran 43 kurang gede dikit, tapi okelah, terimakasih","['bagus', 'ukur', '43', 'gede', 'dikit', 'oke', 'terimakasih']",bagus ukur 43 gede dikit oke terimakasih
"keren, pengirimannya juga cepat.","['keren', 'kirim', 'cepat']",keren kirim cepat
bentuk dan ukuran: sangat pas enak di pakai,"['bentuk', 'ukur', 'pas', 'pakai']",bentuk ukur pas pakai
bentuk dan ukuran: pas banget sesuai yang aku harapkan terima kasih kak,"['bentuk', 'ukur', 'pas', 'banget', 'sesuai', 'harap', 'terima', 'kasih', 'kak']",bentuk ukur pas banget sesuai harap terima kasih kak
untuk produk aman bagus tapi untuk kurirnya sy tidak respect sama kurirnya klo bisa tidak usah sy kasih bintang buat kurirnya,"['produk', 'aman', 'bagus', 'kurir', 'sy', 'respect', 'kurir', 'klo', 'sy', 'kasih', 'bintang', 'kurir']",produk aman bagus kurir sy respect kurir klo sy kasih bintang kurir
