K,Fold,Epoch,Batch,Dropout,Train Accuracy,Val Accuracy,Test Accuracy,Train Loss,Val Loss,Precision,Recall,F1_Score_Asli,F1_Score_Palsu,F1_Macro,Confusion_Flat
5,1,10,16,0.5,0.8532153964042664,0.8610978722572327,0.8651551604270935,0.3423009514808655,0.3096034824848175,0.8765996235646044,0.8610978520286396,0.8951351351351351,0.7943462897526502,0.8447407124438926,"[[1242, 218], [73, 562]]"
5,2,10,16,0.5,0.8519787192344666,0.8625298142433167,0.8293555974960327,0.3462323844432831,0.321685642004013,0.8725807923139375,0.8625298329355608,0.8976545842217484,0.7906976744186046,0.8441761293201765,"[[1263, 197], [91, 544]]"
5,3,10,16,0.5,0.8431316614151001,0.8338901996612549,0.8568019270896912,0.3806838989257812,0.3680374920368194,0.8418492576652213,0.833890214797136,0.8773784355179705,0.742603550295858,0.8099909929069142,"[[1245, 215], [133, 502]]"
5,4,10,16,0.5,0.8475075960159302,0.8539379239082336,0.8699284195899963,0.3529029190540313,0.3312706649303436,0.8736513743461288,0.8539379474940334,0.8887272727272727,0.7875,0.8381136363636363,"[[1222, 238], [68, 567]]"
5,5,10,16,0.5,0.8601598143577576,0.8385864496231079,0.8448687195777893,0.3298816978931427,0.3598631024360657,0.8634389248991177,0.8385864374403056,0.8759177679882526,0.7691256830601093,0.822521725524181,"[[1193, 267], [71, 563]]"
5,1,10,32,0.2,0.8459855318069458,0.8577565550804138,0.8520286679267883,0.355390727519989,0.3202778100967407,0.8720559999601232,0.8577565632458234,0.8929597701149425,0.7880512091038406,0.8405054896093915,"[[1243, 217], [81, 554]]"
5,2,10,32,0.2,0.842751145362854,0.8219570517539978,0.7863962054252625,0.3552672266960144,0.3755913078784942,0.8585203654002309,0.8219570405727924,0.8601424821897263,0.7550886408404465,0.8076155615150864,"[[1147, 313], [60, 575]]"
5,3,10,32,0.2,0.8500760793685913,0.8324582576751709,0.8484486937522888,0.3508979976177215,0.3658862113952636,0.8484362965033821,0.8324582338902148,0.8736955739474631,0.7512402551381998,0.8124679145428315,"[[1214, 246], [105, 530]]"
5,4,10,32,0.2,0.8378044366836548,0.8276849389076233,0.8329355716705322,0.3660599887371063,0.3813090920448303,0.8619582508140259,0.8276849642004773,0.8651475532312289,0.7614011896893589,0.8132743714602939,"[[1158, 302], [59, 576]]"
5,5,10,32,0.2,0.8395167589187622,0.8299904465675354,0.8210023641586304,0.3704599142074585,0.380622535943985,0.8604344750059274,0.8299904489016237,0.8679525222551929,0.7613941018766756,0.8146733120659342,"[[1170, 290], [66, 568]]"
5,1,10,32,0.3,0.8330479264259338,0.8620525002479553,0.8603818416595459,0.3820110857486725,0.3191157281398773,0.870279098399169,0.8620525059665871,0.8978437610463061,0.7876561351947098,0.842749948120508,"[[1270, 190], [99, 536]]"
5,2,10,32,0.3,0.8562595248222351,0.852983295917511,0.8389021754264832,0.3393559455871582,0.3171271681785583,0.8636019188797324,0.8529832935560859,0.8904694167852063,0.7764876632801161,0.8334785400326612,"[[1252, 208], [100, 535]]"
5,3,10,32,0.3,0.8566400408744812,0.8348448872566223,0.8568019270896912,0.338929533958435,0.3614818155765533,0.854985972887698,0.8348448687350836,0.8742732558139535,0.7593880389429764,0.816830647378465,"[[1203, 257], [89, 546]]"
5,4,10,32,0.3,0.8477929830551147,0.8696897625923157,0.8782815933227539,0.3494637906551361,0.3062556087970733,0.8740827207190818,0.8696897374701671,0.904645476772616,0.7942727957799548,0.8494591362762853,"[[1295, 165], [108, 527]]"
5,5,10,32,0.3,0.846936821937561,0.8299904465675354,0.836515486240387,0.3503402173519134,0.3705767393112182,0.8544764416684508,0.8299904489016237,0.8695014662756598,0.7561643835616438,0.8128329249186519,"[[1186, 274], [82, 552]]"
5,1,10,32,0.5,0.8459855318069458,0.8386634588241577,0.8293555974960327,0.3590047061443329,0.3602297306060791,0.855472348958532,0.8386634844868736,0.8780663780663781,0.7616361071932299,0.819851242629804,"[[1217, 243], [95, 540]]"
5,2,10,32,0.5,0.8495053052902222,0.8682577610015869,0.8424820899963379,0.3549573123455047,0.3117185831069946,0.8672254884840017,0.8682577565632458,0.9061224489795918,0.7792,0.842661224489796,"[[1332, 128], [148, 487]]"
5,3,10,32,0.5,0.8555936217308044,0.8238663673400879,0.8472553491592407,0.3450202345848083,0.3920230865478515,0.8523961741078124,0.8238663484486873,0.8636867380864426,0.75118004045853,0.8074333892724863,"[[1169, 291], [78, 557]]"
5,4,10,32,0.5,0.838565468788147,0.8405727744102478,0.8508353233337402,0.365739643573761,0.3506713807582855,0.845060169995228,0.8405727923627685,0.8835425383542538,0.7473524962178517,0.8154475172860527,"[[1267, 193], [141, 494]]"
5,5,10,32,0.5,0.8399924039840698,0.7893982529640198,0.7935560941696167,0.3647924065589905,0.4556034505367279,0.8489554744657853,0.7893982808022922,0.8286047415468325,0.7269349845201238,0.7777698630334782,"[[1066, 394], [47, 587]]"
5,1,10,64,0.2,0.8374239206314087,0.8248209953308105,0.8042959570884705,0.3664782643318176,0.3808950185775757,0.8552232479037842,0.8248210023866348,0.8639228772710419,0.754186202277294,0.809054539774168,"[[1165, 295], [72, 563]]"
